,paper,scissors,rock,accuracy,macro avg,weighted avg
precision,0.9836065573770492,0.9417989417989417,0.9415204678362573,0.9522821576763485,0.9556419890040827,0.9534132154487376
recall,0.8888888888888888,0.978021978021978,0.9757575757575757,0.9522821576763485,0.9475561475561475,0.9522821576763485
f1-score,0.933852140077821,0.9595687331536388,0.9583333333333334,0.9522821576763485,0.9505847355215978,0.9519430463578177
support,135.0,182.0,165.0,0.9522821576763485,482.0,482.0
